LocationID,City,State,Country,Region,Latitude,Longitude,AreaType
L0001,New York,New York,USA,North America,40.69360745401751,-74.03379727824216,Urban
L0002,New York,New York,USA,North America,40.70110570590533,-74.0473005844267,Suburban
L0003,Los Angeles,California,USA,North America,34.07125452840443,-118.250366680913,Metro
L0004,Los Angeles,California,USA,North America,34.00807581116492,-118.2741673724362,Suburban
L0005,Chicago,Illinois,USA,North America,41.88750541542351,-87.60465620296317,Suburban
L0006,Chicago,Illinois,USA,North America,41.93800192675076,-87.54238412601978,Metro
L0007,Houston,Texas,USA,North America,29.77283228299828,-95.39948614360095,Suburban
L0008,Houston,Texas,USA,North America,29.69643861157806,-95.36176865612968,Urban
L0009,Dallas,Texas,USA,North America,32.75231176714069,-96.8094607178054,Urban
L0010,Dallas,Texas,USA,North America,32.75833709602821,-96.80122372659248,Suburban
L0011,San Francisco,California,USA,North America,37.80687940692363,-122.4146885429766,Urban
L0012,San Francisco,California,USA,North America,37.77014095488884,-122.4504696125848,Urban
L0013,Miami,Florida,USA,North America,25.71145951165887,-80.2063892372722,Urban
L0014,Miami,Florida,USA,North America,25.76008652347545,-80.13876210259261,Urban
L0015,Seattle,Washington,USA,North America,47.61010823564419,-122.3026178146693,Metro
L0016,Seattle,Washington,USA,North America,47.59122113204383,-122.3676483129925,Urban
L0017,London,England,UK,Europe,51.47844649713303,-0.1495567819360726,Metro
L0018,London,England,UK,Europe,51.57125409197305,-0.1524416003767316,Metro
L0019,Manchester,England,UK,Europe,53.50595467611209,-2.269687815342611,Suburban
L0020,Manchester,England,UK,Europe,53.50874719038623,-2.231051471016824,Urban
L0021,Birmingham,England,UK,Europe,52.48150086307025,-1.891622875784063,Suburban
L0022,Birmingham,England,UK,Europe,52.46655636913712,-1.877017833955538,Suburban
L0023,Liverpool,England,UK,Europe,53.39475049558978,-3.028368172913018,Metro
L0024,Liverpool,England,UK,Europe,53.37006187277041,-2.986422362468336,Metro
L0025,Leeds,England,UK,Europe,53.84817273769232,-1.544300251592797,Suburban
L0026,Leeds,England,UK,Europe,53.7972408502167,-1.540525215811924,Metro
L0027,Berlin,Berlin,Germany,Europe,52.55918005225121,13.41158147504092,Suburban
L0028,Berlin,Berlin,Germany,Europe,52.50767218307499,13.4381886613018,Urban
L0029,Munich,Bavaria,Germany,Europe,48.14796269315385,11.62807267975988,Suburban
L0030,Munich,Bavaria,Germany,Europe,48.14059703311666,11.54526592904839,Suburban
L0031,Frankfurt,Hesse,Germany,Europe,50.06985522402263,8.731627837966938,Urban
L0032,Frankfurt,Hesse,Germany,Europe,50.1626099716235,8.676714423601522,Metro
L0033,Hamburg,Hamburg,Germany,Europe,53.53960438036592,10.03754332876727,Urban
L0034,Hamburg,Hamburg,Germany,Europe,53.5178886295387,9.966858189431326,Suburban
L0035,Cologne,North Rhine-Westphalia,Germany,Europe,50.95679980384067,6.948461846314212,Metro
L0036,Cologne,North Rhine-Westphalia,Germany,Europe,50.9373463439984,6.955396713044265,Urban
L0037,Mumbai,Maharashtra,India,Asia,19.08612723646397,72.91992445583942,Urban
L0038,Mumbai,Maharashtra,India,Asia,19.07871754720705,72.89701816379831,Urban
L0039,Delhi,Delhi,India,Asia,28.55239483696907,77.2075384479421,Suburban
L0040,Delhi,Delhi,India,Asia,28.58860309189122,77.1724356081873,Urban
L0041,Bengaluru,Karnataka,India,Asia,12.94525542899214,77.58457629677898,Urban
L0042,Bengaluru,Karnataka,India,Asia,12.99907707627068,77.55480821846781,Urban
L0043,Chennai,Tamil Nadu,India,Asia,13.08361894477783,80.256174917,Metro
L0044,Chennai,Tamil Nadu,India,Asia,13.07286980716914,80.30078273475914,Urban
L0045,Hyderabad,Telangana,India,Asia,17.40114346311012,78.52682194322328,Metro
L0046,Hyderabad,Telangana,India,Asia,17.3803648296225,78.46582172164987,Urban
L0047,Pune,Maharashtra,India,Asia,18.51368423549359,73.86397490373814,Urban
L0048,Pune,Maharashtra,India,Asia,18.52569720075361,73.824168357833,Metro
L0049,Kolkata,West Bengal,India,Asia,22.57531469344884,88.37074684990417,Metro
L0050,Kolkata,West Bengal,India,Asia,22.64812422112602,88.42020533833845,Urban
L0051,Ahmedabad,Gujarat,India,Asia,22.99690269948324,72.56277849915352,Metro
L0052,Ahmedabad,Gujarat,India,Asia,22.97859673994489,72.5536787895811,Urban
